Date,h1,h3,h12
1960-07-01,0.605748155293835,0.730893647250436,0.853765538765546
1960-08-01,0.612160198448421,0.735850285750476,0.855411516470107
1960-09-01,0.619053413024692,0.740937948604392,0.859004744619776
1960-10-01,0.628168282947288,0.748730801187405,0.863134587744817
1960-11-01,0.652726964794625,0.765910179129902,0.870409860783481
1960-12-01,0.666651543402732,0.77841240646121,0.877487088261822
1961-01-01,0.653439956161403,0.774856609866373,0.880821053502263
1961-02-01,0.647380886400763,0.771325752346967,0.882355257837622
1961-03-01,0.648948168912487,0.769215688112015,0.880137885629216
1961-04-01,0.652424263032522,0.767029630306392,0.875833296494618
1961-05-01,0.637197669089378,0.756998020391722,0.872820828514611
1961-06-01,0.626255257371899,0.749720904239384,0.87010122045858
1961-07-01,0.612377133700831,0.741461942741988,0.86715752905445
1961-08-01,0.605161238218578,0.736083404139825,0.86417859591062
1961-09-01,0.608770418591749,0.735155703378745,0.860042106101365
1961-10-01,0.609238124230316,0.732430388731112,0.854944379602543
1961-11-01,0.602362187519788,0.725936480186533,0.84900918573618
1961-12-01,0.590945366001378,0.718179001275241,0.844489485872068
1962-01-01,0.596851508453588,0.721772172482563,0.843276511313418
1962-02-01,0.592693506863609,0.719831674952053,0.840217137135172
1962-03-01,0.579931951134383,0.709798063437315,0.834851210953968
1962-04-01,0.579281614301322,0.706572961601483,0.830097444921419
1962-05-01,0.578121095946476,0.704911908362544,0.828625435497314
1962-06-01,0.572289564137873,0.700147187618924,0.825508158865916
1962-07-01,0.563486174128634,0.690618119690708,0.820782010549285
1962-08-01,0.55359499584234,0.681734349884077,0.815229284704196
1962-09-01,0.550523976302342,0.677968782691382,0.809956185836323
1962-10-01,0.54788403926533,0.673252084048133,0.804457058084029
1962-11-01,0.548957722966793,0.671029015042545,0.79940911161003
1962-12-01,0.547138925123862,0.666640536331144,0.794691933735288
1963-01-01,0.546506313448652,0.662519100341322,0.790898058066885
1963-02-01,0.539278802214611,0.654463099052301,0.786355075238934
1963-03-01,0.527552635143995,0.646630374984314,0.784058234899575
1963-04-01,0.533447139656049,0.650351488511849,0.785657837352821
1963-05-01,0.531527914160681,0.64885193524882,0.785374559489781
1963-06-01,0.528048739788837,0.646891679444369,0.78533577561917
1963-07-01,0.524260379002134,0.643087318905802,0.78460094203997
1963-08-01,0.525001026345736,0.645457097982602,0.786623771043793
1963-09-01,0.525256804851851,0.647289490845591,0.787355007728512
1963-10-01,0.523278136617838,0.646870170669692,0.787321170954625
1963-11-01,0.52879065989158,0.651752832950544,0.788890039594803
1963-12-01,0.538341853406783,0.656027578941982,0.789076155906547
1964-01-01,0.545131720823632,0.657784164096952,0.788392127743055
1964-02-01,0.538126959940344,0.65281115959874,0.787250440027589
1964-03-01,0.531613172827876,0.647626133382744,0.786799421519226
1964-04-01,0.54277115339449,0.653121439197089,0.789254467752357
1964-05-01,0.529488349344147,0.648580254708659,0.791048333954709
1964-06-01,0.528022166838675,0.651242183598643,0.795910677569812
1964-07-01,0.537000176282663,0.66191318482472,0.804244522402026
1964-08-01,0.553675401564864,0.677226825494948,0.812223522223884
1964-09-01,0.581440154722649,0.701696249403592,0.823587793605488
1964-10-01,0.627253092872104,0.73726955858737,0.838185365080054
1964-11-01,0.643673058679986,0.752643394636456,0.845850387548933
1964-12-01,0.615195398607907,0.73041276353575,0.835933055720253
1965-01-01,0.587308674969021,0.708287967943622,0.824936423532107
1965-02-01,0.566415168573059,0.692040678589169,0.816787970511252
1965-03-01,0.555084588641045,0.681951061712656,0.811150262252855
1965-04-01,0.551594251997964,0.677771506956182,0.807443963645618
1965-05-01,0.546121336395366,0.672905014538784,0.804676063149502
1965-06-01,0.547905899651894,0.675518588591858,0.805498301635052
1965-07-01,0.553913743474593,0.678338200648273,0.805680298633485
1965-08-01,0.552121257688406,0.674269327264183,0.803660287353891
1965-09-01,0.56149483768401,0.676958441915321,0.803633074482546
1965-10-01,0.55445360290056,0.672878348363,0.803037435747269
1965-11-01,0.549947378274107,0.671885483561501,0.804596206258525
1965-12-01,0.559475593327767,0.680536131398648,0.810011600705663
1966-01-01,0.561406743616037,0.684526643518581,0.81279661565566
1966-02-01,0.567029357534617,0.691300378731803,0.817555670265836
1966-03-01,0.574956710257695,0.69897883983657,0.822796038344614
1966-04-01,0.582389863083544,0.707473459880847,0.826763698084973
1966-05-01,0.591148790993474,0.715217045387076,0.830536815540414
1966-06-01,0.585382684459303,0.710841206291718,0.831298200859059
1966-07-01,0.584883008914077,0.710044300239646,0.832517349546023
1966-08-01,0.589315733136545,0.712310113609431,0.834797663698029
1966-09-01,0.592091026352118,0.715382158543974,0.838862092617952
1966-10-01,0.590335584766696,0.712759597217409,0.837288007764574
1966-11-01,0.593764799998791,0.714770492953882,0.837859905464626
1966-12-01,0.594611558639956,0.717154248143468,0.839508256001304
1967-01-01,0.601988183040203,0.722771416825366,0.841971395228774
1967-02-01,0.603494380836112,0.72303089301236,0.844442885998868
1967-03-01,0.596083286232074,0.71633565175161,0.841588121470632
1967-04-01,0.596441427026285,0.715442891813943,0.8406459886917
1967-05-01,0.595768312546671,0.716288248888679,0.842747326160738
1967-06-01,0.595934917764738,0.721569541411624,0.848691933596946
1967-07-01,0.601708329216588,0.728871685700183,0.855931592368149
1967-08-01,0.613117424472269,0.736902753633796,0.85970818633968
1967-09-01,0.608077366906821,0.736166015670766,0.859808724064311
1967-10-01,0.611152663233102,0.738896094707968,0.861311930987649
1967-11-01,0.629970004760136,0.754062605205628,0.867922131774863
