date,est,y_sample,date
1994-01-01,87.75599634733419,87.53299999999999,1994-01-01
1994-02-01,87.46903561219094,86.005,1994-02-01
1994-03-01,87.43241762944034,84.366,1994-03-01
1994-04-01,86.45631558285129,83.22399999999998,1994-04-01
1994-05-01,84.50045897796971,82.736,1994-05-01
1994-06-01,82.92418832361706,82.54700000000003,1994-06-01
1994-07-01,82.4761570968879,82.945,1994-07-01
1994-08-01,82.57503647569912,82.639,1994-08-01
1994-09-01,82.4622743636593,81.55199999999998,1994-09-01
1994-10-01,81.74951140695526,81.002,1994-10-01
1994-11-01,80.55843017002732,79.837,1994-11-01
1994-12-01,79.65732715936129,79.41,1994-12-01
1995-01-01,78.6730967981418,80.308,1995-01-01
1995-02-01,79.1534983947106,81.53,1995-02-01
1995-03-01,79.27324743749293,81.48,1995-03-01
1995-04-01,80.41630193289055,81.947,1995-04-01
1995-05-01,81.46159167213243,83.855,1995-05-01
1995-06-01,81.4624398809456,84.012,1995-06-01
1995-07-01,82.51611659174043,83.602,1995-07-01
1995-08-01,83.81742473731516,83.851,1995-08-01
1995-09-01,83.87697986135855,83.932,1995-09-01
1995-10-01,83.81811536341779,84.421,1995-10-01
1995-11-01,84.13231723644697,85.137,1995-11-01
1995-12-01,84.71223235088213,85.565,1995-12-01
1996-01-01,85.2976473785453,86.044,1996-01-01
1996-02-01,85.9107280000431,84.835,1996-02-01
1996-03-01,85.70239017993617,83.87299999999998,1996-03-01
1996-04-01,85.17780323363117,83.211,1996-04-01
1996-05-01,84.03365260810256,82.664,1996-05-01
1996-06-01,82.98291653455146,82.905,1996-06-01
1996-07-01,82.8014205274986,82.74600000000002,1996-07-01
1996-08-01,82.70847196594082,82.365,1996-08-01
1996-09-01,82.40170207879744,83.007,1996-09-01
1996-10-01,82.56621497909504,83.98200000000001,1996-10-01
1996-11-01,83.01851782205954,84.42,1996-11-01
1996-12-01,83.76918746111978,83.594,1996-12-01
1997-01-01,83.91578165031999,83.52799999999998,1997-01-01
1997-02-01,83.74594656782347,83.12200000000001,1997-02-01
1997-03-01,83.26535013778076,82.212,1997-03-01
1997-04-01,82.68742062237295,82.677,1997-04-01
1997-05-01,82.43164665400005,82.861,1997-05-01
1997-06-01,82.4531933401178,83.209,1997-06-01
1997-07-01,82.75816783333006,84.213,1997-07-01
1997-08-01,83.00801619447873,83.443,1997-08-01
1997-09-01,83.36991330325446,84.016,1997-09-01
1997-10-01,83.81316934338274,84.45700000000002,1997-10-01
1997-11-01,83.84440315427548,84.09,1997-11-01
1997-12-01,84.16006791762132,84.485,1997-12-01
1998-01-01,84.33728659003768,85.32,1998-01-01
1998-02-01,84.70471810564167,84.804,1998-02-01
1998-03-01,84.93578353263648,84.613,1998-03-01
1998-04-01,84.98226325390635,84.64200000000002,1998-04-01
1998-05-01,84.6811293281907,84.71799999999998,1998-05-01
1998-06-01,84.67565061401079,84.846,1998-06-01
1998-07-01,84.75703265448944,84.88600000000002,1998-07-01
1998-08-01,84.83463663309243,86.322,1998-08-01
1998-09-01,85.95927526683198,87.78299999999999,1998-09-01
1998-10-01,87.87468589902448,87.85600000000002,1998-10-01
1998-11-01,88.02177750219803,87.295,1998-11-01
1998-12-01,88.03987647398588,87.103,1998-12-01
1999-01-01,87.8767103474229,87.14399999999998,1999-01-01
1999-02-01,87.27516877593746,85.477,1999-02-01
1999-03-01,87.39599180283538,85.917,1999-03-01
1999-04-01,87.06355632165956,85.71,1999-04-01
1999-05-01,85.89687978707269,84.70299999999997,1999-05-01
1999-06-01,85.88370075047155,84.63799999999998,1999-06-01
1999-07-01,85.10864493380288,84.32799999999997,1999-07-01
1999-08-01,84.61946593585925,84.073,1999-08-01
1999-09-01,84.30387956145685,84.397,1999-09-01
1999-10-01,84.25976678638412,83.956,1999-10-01
1999-11-01,84.11186639544906,83.565,1999-11-01
1999-12-01,83.87244526444456,82.97,1999-12-01
