date,est,y_sample,date
1994-01-01,77.43587777436427,73.324,1994-01-01
1994-02-01,76.39794804235129,71.915,1994-02-01
1994-03-01,73.99048948329546,71.483,1994-03-01
1994-04-01,71.83141007089013,70.75,1994-04-01
1994-05-01,71.08355275295885,71.619,1994-05-01
1994-06-01,71.04660116842793,71.343,1994-06-01
1994-07-01,71.02451137184867,69.709,1994-07-01
1994-08-01,70.42579940588276,69.07300000000001,1994-08-01
1994-09-01,69.24190046775082,68.141,1994-09-01
1994-10-01,68.47086564240492,68.126,1994-10-01
1994-11-01,67.995953125114,69.01,1994-11-01
1994-12-01,68.02309017886313,70.605,1994-12-01
1995-01-01,68.23373002283125,70.555,1995-01-01
1995-02-01,69.52645122971849,71.281,1995-02-01
1995-03-01,70.64013535695932,74.089,1995-03-01
1995-04-01,71.41579803027199,74.46600000000002,1995-04-01
1995-05-01,74.00250196018406,73.793,1995-05-01
1995-06-01,74.2420113388327,74.13600000000002,1995-06-01
1995-07-01,74.24644185169733,74.406,1995-07-01
1995-08-01,74.21912032707212,75.1,1995-08-01
1995-09-01,74.75430014006675,76.123,1995-09-01
1995-10-01,75.52688620054928,76.691,1995-10-01
1995-11-01,76.41236490001549,77.137,1995-11-01
1995-12-01,76.94177161842245,75.328,1995-12-01
1996-01-01,76.92577318496669,73.911,1996-01-01
1996-02-01,76.17386799727198,72.91,1996-02-01
1996-03-01,74.4979893608017,72.03399999999998,1996-03-01
1996-04-01,73.26919441145382,72.686,1996-04-01
1996-05-01,72.47768028702372,72.281,1996-05-01
1996-06-01,72.24110392835689,71.76,1996-06-01
1996-07-01,72.11179954561064,72.695,1996-07-01
1996-08-01,72.20046290431624,74.059,1996-08-01
1996-09-01,73.04549263826657,74.985,1996-09-01
1996-10-01,74.33012392288158,73.557,1996-10-01
1996-11-01,74.46796119991562,73.41199999999998,1996-11-01
1996-12-01,74.29637123406144,72.915,1996-12-01
1997-01-01,73.40726765977386,71.664,1997-01-01
1997-02-01,72.61244842472854,72.286,1997-02-01
1997-03-01,72.10917669615198,72.561,1997-03-01
1997-04-01,72.0383325482719,72.973,1997-04-01
1997-05-01,72.52013313092252,74.711,1997-05-01
1997-06-01,73.60686543267126,73.595,1997-06-01
1997-07-01,73.85681282764773,74.416,1997-07-01
1997-08-01,74.35592085969874,75.456,1997-08-01
1997-09-01,74.66838128917331,74.993,1997-09-01
1997-10-01,75.03792811667871,75.459,1997-10-01
1997-11-01,75.34485639725237,76.676,1997-11-01
1997-12-01,75.9964527934789,75.919,1997-12-01
1998-01-01,76.20458612564364,75.792,1998-01-01
1998-02-01,76.26898319435828,75.72399999999998,1998-02-01
1998-03-01,75.83864600635616,76.033,1998-03-01
1998-04-01,75.90450282067059,76.398,1998-04-01
1998-05-01,76.20510412557881,76.084,1998-05-01
1998-06-01,76.25895812648838,78.443,1998-06-01
1998-07-01,77.64400335503292,80.469,1998-07-01
1998-08-01,79.51964177432033,79.916,1998-08-01
1998-09-01,80.19242667738071,79.624,1998-09-01
1998-10-01,80.27231985103913,79.491,1998-10-01
1998-11-01,79.83169812629944,79.73899999999998,1998-11-01
1998-12-01,79.7025659324961,77.067,1998-12-01
1999-01-01,79.83351996899644,77.21,1999-01-01
1999-02-01,79.10433474578028,76.836,1999-02-01
1999-03-01,77.18022403364154,75.415,1999-03-01
1999-04-01,77.03305228692757,74.96600000000002,1999-04-01
1999-05-01,76.33657433399668,74.36,1999-05-01
1999-06-01,75.12488848694298,74.188,1999-06-01
1999-07-01,74.66275916456131,74.52,1999-07-01
1999-08-01,74.41644935143485,73.906,1999-08-01
1999-09-01,74.31418978383407,73.545,1999-09-01
1999-10-01,74.16154027604944,72.64,1999-10-01
1999-11-01,73.54150431493406,71.666,1999-11-01
1999-12-01,72.46285009568878,72.009,1999-12-01
