date,est,y_sample,date
1994-01-01,92.01327784998936,90.198,1994-01-01
1994-02-01,91.6260854438305,89.249,1994-02-01
1994-03-01,90.64713579608853,88.811,1994-03-01
1994-04-01,89.7585131086826,88.56200000000004,1994-04-01
1994-05-01,89.02485004446712,88.822,1994-05-01
1994-06-01,88.7942986225591,88.54700000000004,1994-06-01
1994-07-01,88.7137432520676,87.807,1994-07-01
1994-08-01,88.6299130085285,87.391,1994-08-01
1994-09-01,88.16440517330956,86.488,1994-09-01
1994-10-01,87.5139129981762,86.042,1994-10-01
1994-11-01,86.92333800590688,86.708,1994-11-01
1994-12-01,86.55480615847324,87.51,1994-12-01
1995-01-01,87.02668152196968,87.5,1995-01-01
1995-02-01,87.41046213914221,87.835,1995-02-01
1995-03-01,87.68587655492995,89.09,1995-03-01
1995-04-01,88.45336966729926,89.205,1995-04-01
1995-05-01,88.99260847576149,89.05799999999998,1995-05-01
1995-06-01,89.1494553341852,89.149,1995-06-01
1995-07-01,89.16784087976079,89.167,1995-07-01
1995-08-01,89.14999936213196,89.52,1995-08-01
1995-09-01,89.3743861829507,90.00299999999999,1995-09-01
1995-10-01,89.75483993988013,90.3,1995-10-01
1995-11-01,90.12064132435833,90.726,1995-11-01
1995-12-01,90.5088305958542,89.85,1995-12-01
1996-01-01,90.49189072867655,89.22,1996-01-01
1996-02-01,90.28519707455246,88.805,1996-02-01
1996-03-01,89.53328500059699,88.45100000000002,1996-03-01
1996-04-01,88.98388639716804,88.65100000000002,1996-04-01
1996-05-01,88.70777203034854,88.492,1996-05-01
1996-06-01,88.57343413380622,88.279,1996-06-01
1996-07-01,88.54838487037999,88.685,1996-07-01
1996-08-01,88.56783204115173,89.307,1996-08-01
1996-09-01,88.96334180136357,89.565,1996-09-01
1996-10-01,89.37736930443488,89.073,1996-10-01
1996-11-01,89.42287670139682,89.02,1996-11-01
1996-12-01,89.34636377881513,88.713,1996-12-01
1997-01-01,89.01531094382928,88.10700000000001,1997-01-01
1997-02-01,88.7974151448856,88.35799999999998,1997-02-01
1997-03-01,88.50894306701957,88.51700000000002,1997-03-01
1997-04-01,88.40764425200098,88.71600000000002,1997-04-01
1997-05-01,88.60002185181303,89.323,1997-05-01
1997-06-01,89.01868020142942,88.90299999999998,1997-06-01
1997-07-01,89.10604191677291,89.211,1997-07-01
1997-08-01,89.23394027341907,89.51,1997-08-01
1997-09-01,89.32692813526414,89.19,1997-09-01
1997-10-01,89.37677985503394,89.45100000000002,1997-10-01
1997-11-01,89.45594628922028,90.006,1997-11-01
1997-12-01,89.72842904477058,89.62700000000002,1997-12-01
1998-01-01,89.81750953059563,89.571,1998-01-01
1998-02-01,89.83655615939296,89.588,1998-02-01
1998-03-01,89.60769524183118,89.62200000000001,1998-03-01
1998-04-01,89.60536247158336,89.751,1998-04-01
1998-05-01,89.6938367709117,89.723,1998-05-01
1998-06-01,89.73089178301083,90.81299999999999,1998-06-01
1998-07-01,90.39455511694334,91.807,1998-07-01
1998-08-01,91.27428990803585,91.994,1998-08-01
1998-09-01,91.83999036201978,91.43299999999999,1998-09-01
1998-10-01,91.8845104537137,91.37200000000001,1998-10-01
1998-11-01,91.77384958788966,91.31200000000001,1998-11-01
1998-12-01,91.40354551337357,90.3,1998-12-01
1999-01-01,91.32014178586996,90.602,1999-01-01
1999-02-01,91.01335855393627,90.458,1999-02-01
1999-03-01,90.53378207503755,89.819,1999-03-01
1999-04-01,90.5141657967949,89.66799999999998,1999-04-01
1999-05-01,90.2018106947411,89.462,1999-05-01
1999-06-01,89.74383218029686,89.31299999999996,1999-06-01
1999-07-01,89.5679601579767,89.515,1999-07-01
1999-08-01,89.48135992261928,89.154,1999-08-01
1999-09-01,89.41746215015736,88.81299999999996,1999-09-01
1999-10-01,89.32914522331961,88.42299999999999,1999-10-01
1999-11-01,88.95625892835201,87.792,1999-11-01
1999-12-01,88.56746397100376,87.92200000000004,1999-12-01
