date,est,y_sample,date
1985-01-01,64.88521581535699,65.56,1985-01-01
1985-02-01,65.38888020768367,63.714,1985-02-01
1985-03-01,65.34860658412276,64.045,1985-03-01
1985-04-01,64.9190055030929,65.149,1985-04-01
1985-05-01,64.66905092767843,67.786,1985-05-01
1985-06-01,66.59723954280666,67.95,1985-06-01
1985-07-01,67.72815670096581,66.998,1985-07-01
1985-08-01,67.82616255217512,67.727,1985-08-01
1985-09-01,67.80081882063692,67.962,1985-09-01
1985-10-01,67.80742851663473,68.911,1985-10-01
1985-11-01,68.5056562163444,69.77,1985-11-01
1985-12-01,69.3219749896226,71.378,1985-12-01
1986-01-01,70.63029504595033,71.267,1986-01-01
1986-02-01,71.24289315919354,72.939,1986-02-01
1986-03-01,72.31721054224361,74.722,1986-03-01
1986-04-01,73.82094104312444,74.758,1986-04-01
1986-05-01,74.65427909958458,72.472,1986-05-01
1986-06-01,74.63123764072277,74.238,1986-06-01
1986-07-01,74.41739755045087,75.05,1986-07-01
1986-08-01,74.57580859222757,76.92699999999998,1986-08-01
1986-09-01,76.09121414785803,75.21600000000002,1986-09-01
1986-10-01,76.24799155031906,76.225,1986-10-01
1986-11-01,76.55059356045868,76.679,1986-11-01
1986-12-01,76.41258090565556,76.668,1986-12-01
1987-01-01,76.6528639553192,76.589,1987-01-01
1987-02-01,76.66979255538442,76.62899999999998,1987-02-01
1987-03-01,76.64834610864399,76.051,1987-03-01
1987-04-01,76.5835981521452,73.305,1987-04-01
1987-05-01,76.21193733173357,72.535,1987-05-01
1987-06-01,74.88423719524947,73.139,1987-06-01
1987-07-01,73.19248453222586,72.645,1987-07-01
1987-08-01,72.93090689923754,71.789,1987-08-01
1987-09-01,72.85960329166423,69.71600000000001,1987-09-01
1987-10-01,72.1217645390148,71.655,1987-10-01
1987-11-01,71.6221426090227,71.837,1987-11-01
1987-12-01,71.64571668612004,72.263,1987-12-01
1988-01-01,72.07175702173356,73.804,1988-01-01
1988-02-01,73.14344983490328,74.33800000000002,1988-02-01
1988-03-01,74.00269251730563,73.23100000000002,1988-03-01
1988-04-01,74.06719412415947,72.226,1988-04-01
